year,institution_type,facility_type_a,public_private,no_of_facilities,no_beds,sector,facility_type_b
2017,Hospital,Community Hospitals,Not-for-Profit,4,969,"",""
2017,Hospital,Community Hospitals,Private,1,4,"",""
2017,Residential Long-Term,Nursing Homes,Public,20,5281,"",""
2017,Residential Long-Term,Nursing Homes,Not-for-Profit,23,5872,"",""
2017,Residential Long-Term,Nursing Homes,Private,30,3765,"",""
2017,Residential Long-Term,Inpatient Hospices,Public,0,24,"",""
2017,Residential Long-Term,Inpatient Hospices,Not-for-Profit,2,155,"",""
2017,Residential Long-Term,Inpatient Hospices,Private,0,0,"",""
2018,Hospital,Acute,Public,10,9071,"",""
2018,Hospital,Acute,Not-for-Profit,1,273,"",""
2018,Hospital,Acute,Private,8,1482,"",""
2018,Hospital,Psychiatric Hospitals,Public,1,1950,"",""
2018,Hospital,Psychiatric Hospitals,Not-for-Profit,0,0,"",""
2018,Hospital,Psychiatric Hospitals,Private,0,0,"",""
2018,Hospital,Community Hospitals,Public,4,799,"",""
2018,Hospital,Community Hospitals,Not-for-Profit,4,979,"",""
2018,Hospital,Community Hospitals,Private,0,0,"",""
2018,Residential Long-Term,Nursing Homes,Public,21,5581,"",""
2018,Residential Long-Term,Nursing Homes,Not-for-Profit,23,5953,"",""
2018,Residential Long-Term,Nursing Homes,Private,28,3671,"",""
2018,Residential Long-Term,Inpatient Hospices,Public,0,24,"",""
2018,Residential Long-Term,Inpatient Hospices,Not-for-Profit,2,155,"",""
2018,Residential Long-Term,Inpatient Hospices,Private,0,0,"",""
2019,Hospital,Acute,Public,10,9404,"",""
2019,Hospital,Acute,Not-for-Profit,1,288,"",""
2019,Hospital,Acute,Private,8,1629,"",""
2019,Hospital,Psychiatric Hospitals,Public,1,1950,"",""
2019,Hospital,Psychiatric Hospitals,Not-for-Profit,0,0,"",""
2019,Hospital,Psychiatric Hospitals,Private,0,0,"",""
2019,Hospital,Community Hospitals,Public,5,974,"",""
2019,Hospital,Community Hospitals,Not-for-Profit,4,1012,"",""
2019,Hospital,Community Hospitals,Private,0,0,"",""
2019,Residential Long-Term,Nursing Homes,Public,23,6238,"",""
2019,Residential Long-Term,Nursing Homes,Not-for-Profit,23,5963,"",""
2019,Residential Long-Term,Nursing Homes,Private,31,3858,"",""
2019,Residential Long-Term,Inpatient Hospices,Public,0,24,"",""
2019,Residential Long-Term,Inpatient Hospices,Not-for-Profit,2,155,"",""
2019,Residential Long-Term,Inpatient Hospices,Private,0,0,"",""
2020,Hospital,Acute,Public,10,9610,"",""
2020,Hospital,Acute,Not-for-Profit,1,285,"",""
2020,Hospital,Acute,Private,8,1650,"",""
2020,Hospital,Psychiatric Hospitals,Public,1,1950,"",""
2020,Hospital,Psychiatric Hospitals,Not-for-Profit,0,0,"",""
2020,Hospital,Psychiatric Hospitals,Private,0,0,"",""
2020,Hospital,Community Hospitals,Public,5,1130,"",""
2020,Hospital,Community Hospitals,Not-for-Profit,4,939,"",""
2020,Hospital,Community Hospitals,Private,0,0,"",""
2020,Residential Long-Term,Nursing Homes,Public,24,6391,"",""
2020,Residential Long-Term,Nursing Homes,Not-for-Profit,22,5963,"",""
2020,Residential Long-Term,Nursing Homes,Private,31,3867,"",""
2020,Residential Long-Term,Inpatient Hospices,Public,4,60,"",""
2020,Residential Long-Term,Inpatient Hospices,Not-for-Profit,6,193,"",""
2020,Residential Long-Term,Inpatient Hospices,Private,0,0,"",""
2009,Primary Care Facilities,"","",18,0,Public,Polyclinics
2009,Primary Care Facilities,"","",1628,0,Private,General Practioner Clinics
2009,Dental Clinics,"","",9,0,Public,Polyclinic Dental Clinics
2009,Dental Clinics,"","",5,0,Public,Hospital/Institution Dental Clinic
2009,Dental Clinics,"","",226,0,Public,School Dental Clinics
2009,Dental Clinics,"","",582,0,Private,Private Dental Clinics
2009,Pharmacies,"","",58,0,Public,Public Pharmacies
2009,Pharmacies,"","",153,0,Private,Private Pharmacies
2010,Primary Care Facilities,"","",18,0,Public,Polyclinics
2010,Primary Care Facilities,"","",1651,0,Private,General Practioner Clinics
2010,Dental Clinics,"","",9,0,Public,Polyclinic Dental Clinics
2010,Dental Clinics,"","",6,0,Public,Hospital/Institution Dental Clinic
2010,Dental Clinics,"","",225,0,Public,School Dental Clinics
2010,Dental Clinics,"","",610,0,Private,Private Dental Clinics
2010,Pharmacies,"","",58,0,Public,Public Pharmacies
2010,Pharmacies,"","",168,0,Private,Private Pharmacies
2011,Primary Care Facilities,"","",18,0,Public,Polyclinics
2011,Primary Care Facilities,"","",1685,0,Private,General Practioner Clinics
2011,Dental Clinics,"","",9,0,Public,Polyclinic Dental Clinics
2011,Dental Clinics,"","",6,0,Public,Hospital/Institution Dental Clinic
2011,Dental Clinics,"","",226,0,Public,School Dental Clinics
2011,Dental Clinics,"","",631,0,Private,Private Dental Clinics
